ID_CLIENT,ID_SKU,Quantity,dat_event,Valor_Unitario,Categoria,Valor_Total_Produto
873,14,1,2024-01-02,84,Limpeza,84
7574,50,1,2024-01-02,163,Carnes,163
8637,10,1,2024-01-02,286,Carnes,286
3496,80,1,2024-01-02,188,Limpeza,188
7748,88,1,2024-01-02,198,Bebidas,198
8354,85,1,2024-01-02,156,Bebidas,156
8354,49,1,2024-01-02,266,Utensilios,266
314,71,1,2024-01-02,245,Carnes,245
6374,82,1,2024-01-02,91,Utensilios,91
8977,18,1,2024-01-02,80,Utensilios,80
7518,18,1,2024-01-02,80,Utensilios,80
7518,10,1,2024-01-02,286,Carnes,286
7518,30,1,2024-01-02,293,Bebidas,293
8065,99,1,2024-01-02,134,Limpeza,134
5657,10,1,2024-01-02,286,Carnes,286
5657,52,1,2024-01-02,69,Utensilios,69
4925,66,1,2024-01-02,75,Utensilios,75
2226,21,1,2024-01-02,267,Carnes,267
217,44,1,2024-01-02,203,Carnes,203
1227,38,1,2024-01-02,246,Bebidas,246
1227,18,1,2024-01-02,80,Utensilios,80
232,29,1,2024-01-02,111,Bebidas,111
6171,67,1,2024-01-02,275,Limpeza,275
1277,1,1,2024-01-02,272,Limpeza,272
4331,75,1,2024-01-02,247,Bebidas,247
528,55,1,2024-01-02,58,Bebidas,58
528,45,1,2024-01-02,151,Carnes,151
7933,62,1,2024-01-02,246,Bebidas,246
1096,71,1,2024-01-03,245,Carnes,245
941,70,1,2024-01-03,187,Utensilios,187
3201,40,1,2024-01-03,130,Utensilios,130
5500,68,1,2024-01-03,152,Limpeza,152
5500,76,1,2024-01-03,228,Utensilios,228
5500,64,1,2024-01-03,213,Utensilios,213
5500,45,1,2024-01-03,151,Carnes,151
2572,96,1,2024-01-03,128,Carnes,128
4410,24,1,2024-01-03,150,Bebidas,150
5325,38,1,2024-01-03,246,Bebidas,246
5681,87,1,2024-01-03,236,Utensilios,236
8542,82,1,2024-01-03,91,Utensilios,91
56,80,1,2024-01-03,188,Limpeza,188
6784,40,1,2024-01-03,130,Utensilios,130
2093,48,1,2024-01-03,287,Carnes,287
8115,44,1,2024-01-03,203,Carnes,203
2192,36,1,2024-01-03,167,Bebidas,167
8073,89,1,2024-01-03,271,Carnes,271
413,29,1,2024-01-03,111,Bebidas,111
2652,27,1,2024-01-03,249,Utensilios,249
6769,50,1,2024-01-03,163,Carnes,163
4593,90,1,2024-01-03,284,Carnes,284
8106,24,1,2024-01-03,150,Bebidas,150
1894,21,1,2024-01-03,267,Carnes,267
8310,3,1,2024-01-03,67,Limpeza,67
8310,39,1,2024-01-03,217,Bebidas,217
9965,92,1,2024-01-03,175,Bebidas,175
7812,86,1,2024-01-03,298,Bebidas,298
3990,32,1,2024-01-03,299,Limpeza,299
3990,65,1,2024-01-03,198,Carnes,198
4355,59,1,2024-01-03,274,Carnes,274
7032,93,1,2024-01-03,276,Bebidas,276
7032,26,1,2024-01-03,279,Carnes,279
7032,52,1,2024-01-03,69,Utensilios,69
878,63,1,2024-01-03,80,Carnes,80
7309,68,1,2024-01-03,152,Limpeza,152
3324,78,1,2024-01-03,203,Limpeza,203
3522,1,1,2024-01-03,272,Limpeza,272
3522,12,1,2024-01-03,199,Limpeza,199
6703,31,1,2024-01-03,150,Limpeza,150
7869,75,1,2024-01-03,247,Bebidas,247
7478,49,1,2024-01-03,266,Utensilios,266
7478,5,1,2024-01-03,76,Utensilios,76
9923,62,1,2024-01-03,246,Bebidas,246
9923,5,1,2024-01-03,76,Utensilios,76
8535,97,1,2024-01-03,69,Bebidas,69
4650,76,1,2024-01-03,228,Utensilios,228
1659,91,1,2024-01-03,69,Bebidas,69
1659,82,1,2024-01-03,91,Utensilios,91
9539,25,1,2024-01-04,160,Limpeza,160
6042,69,1,2024-01-04,194,Carnes,194
5486,92,1,2024-01-04,175,Bebidas,175
366,28,1,2024-01-04,99,Carnes,99
6695,90,1,2024-01-04,284,Carnes,284
5873,56,1,2024-01-04,173,Utensilios,173
3687,8,1,2024-01-04,184,Carnes,184
3687,11,1,2024-01-04,256,Carnes,256
5896,75,1,2024-01-04,247,Bebidas,247
4554,80,1,2024-01-04,188,Limpeza,188
4554,64,1,2024-01-04,213,Utensilios,213
6022,56,1,2024-01-04,173,Utensilios,173
6022,26,1,2024-01-04,279,Carnes,279
7044,97,1,2024-01-04,69,Bebidas,69
1727,10,1,2024-01-04,286,Carnes,286
6348,92,1,2024-01-04,175,Bebidas,175
6348,99,1,2024-01-04,134,Limpeza,134
6442,6,1,2024-01-04,273,Carnes,273
4738,43,1,2024-01-04,284,Bebidas,284
5580,9,1,2024-01-04,250,Bebidas,250
1598,7,1,2024-01-04,288,Carnes,288
9939,9,1,2024-01-04,250,Bebidas,250
2927,91,1,2024-01-04,69,Bebidas,69
5289,3,1,2024-01-04,67,Limpeza,67
1998,25,1,2024-01-04,160,Limpeza,160
4709,13,1,2024-01-04,91,Bebidas,91
4793,84,1,2024-01-04,93,Utensilios,93
8167,97,1,2024-01-04,69,Bebidas,69
7896,55,1,2024-01-04,58,Bebidas,58
3586,88,1,2024-01-04,198,Bebidas,198
2330,58,1,2024-01-04,45,Limpeza,45
5859,25,1,2024-01-04,160,Limpeza,160
1590,43,1,2024-01-04,284,Bebidas,284
9316,77,1,2024-01-05,132,Carnes,132
9017,31,1,2024-01-05,150,Limpeza,150
2746,74,1,2024-01-05,256,Utensilios,256
3357,97,1,2024-01-05,69,Bebidas,69
9061,77,1,2024-01-05,132,Carnes,132
3966,44,1,2024-01-05,203,Carnes,203
1024,39,1,2024-01-05,217,Bebidas,217
7727,64,1,2024-01-05,213,Utensilios,213
8545,88,1,2024-01-05,198,Bebidas,198
3912,21,1,2024-01-05,267,Carnes,267
7595,45,1,2024-01-05,151,Carnes,151
1128,82,1,2024-01-05,91,Utensilios,91
3052,77,1,2024-01-05,132,Carnes,132
1582,65,1,2024-01-05,198,Carnes,198
7009,86,1,2024-01-05,298,Bebidas,298
7425,46,1,2024-01-05,74,Carnes,74
4709,52,1,2024-01-05,69,Utensilios,69
4127,53,1,2024-01-05,187,Bebidas,187
9639,63,1,2024-01-05,80,Carnes,80
3784,86,1,2024-01-05,298,Bebidas,298
3849,7,1,2024-01-05,288,Carnes,288
9166,91,1,2024-01-05,69,Bebidas,69
8372,14,1,2024-01-05,84,Limpeza,84
3129,6,1,2024-01-05,273,Carnes,273
6974,3,1,2024-01-05,67,Limpeza,67
9828,66,1,2024-01-05,75,Utensilios,75
1852,89,1,2024-01-05,271,Carnes,271
9498,73,1,2024-01-05,246,Utensilios,246
6313,93,1,2024-01-05,276,Bebidas,276
7489,43,1,2024-01-05,284,Bebidas,284
6076,65,1,2024-01-05,198,Carnes,198
2474,26,1,2024-01-05,279,Carnes,279
2602,73,1,2024-01-05,246,Utensilios,246
2602,43,1,2024-01-05,284,Bebidas,284
5895,52,1,2024-01-05,69,Utensilios,69
719,60,1,2024-01-05,98,Limpeza,98
2622,65,1,2024-01-05,198,Carnes,198
1500,41,1,2024-01-05,164,Carnes,164
1592,38,1,2024-01-05,246,Bebidas,246
1592,47,1,2024-01-05,163,Limpeza,163
2029,77,1,2024-01-05,132,Carnes,132
9716,8,1,2024-01-05,184,Carnes,184
5917,78,1,2024-01-05,203,Limpeza,203
6087,83,1,2024-01-05,217,Limpeza,217
3102,61,1,2024-01-05,204,Bebidas,204
3683,62,1,2024-01-05,246,Bebidas,246
3683,47,1,2024-01-05,163,Limpeza,163
862,54,1,2024-01-05,211,Limpeza,211
8934,73,1,2024-01-06,246,Utensilios,246
4266,19,1,2024-01-06,59,Bebidas,59
6392,48,1,2024-01-06,287,Carnes,287
4368,5,1,2024-01-06,76,Utensilios,76
4432,96,1,2024-01-06,128,Carnes,128
9594,61,1,2024-01-06,204,Bebidas,204
1499,40,1,2024-01-06,130,Utensilios,130
4674,1,1,2024-01-06,272,Limpeza,272
3247,64,1,2024-01-06,213,Utensilios,213
6107,58,1,2024-01-06,45,Limpeza,45
9106,49,1,2024-01-06,266,Utensilios,266
404,94,1,2024-01-06,242,Utensilios,242
8597,29,1,2024-01-06,111,Bebidas,111
1153,3,1,2024-01-06,67,Limpeza,67
1261,31,1,2024-01-06,150,Limpeza,150
7867,42,1,2024-01-06,136,Bebidas,136
7867,66,1,2024-01-06,75,Utensilios,75
1378,1,1,2024-01-06,272,Limpeza,272
1378,67,1,2024-01-06,275,Limpeza,275
4110,44,1,2024-01-06,203,Carnes,203
4110,12,1,2024-01-06,199,Limpeza,199
5111,37,1,2024-01-06,66,Utensilios,66
8797,95,1,2024-01-06,156,Limpeza,156
5924,25,1,2024-01-06,160,Limpeza,160
4004,1,1,2024-01-06,272,Limpeza,272
1684,64,1,2024-01-06,213,Utensilios,213
9632,48,1,2024-01-06,287,Carnes,287
8531,30,1,2024-01-06,293,Bebidas,293
3093,28,1,2024-01-06,99,Carnes,99
3093,88,1,2024-01-06,198,Bebidas,198
1440,49,1,2024-01-06,266,Utensilios,266
4698,71,1,2024-01-06,245,Carnes,245
9838,86,1,2024-01-06,298,Bebidas,298
9838,84,1,2024-01-06,93,Utensilios,93
9324,27,1,2024-01-06,249,Utensilios,249
9237,70,1,2024-01-06,187,Utensilios,187
6229,18,1,2024-01-06,80,Utensilios,80
1974,46,1,2024-01-06,74,Carnes,74
4759,17,1,2024-01-06,199,Bebidas,199
4759,41,1,2024-01-06,164,Carnes,164
8748,36,1,2024-01-06,167,Bebidas,167
1901,91,1,2024-01-06,69,Bebidas,69
9650,89,1,2024-01-06,271,Carnes,271
6181,42,1,2024-01-06,136,Bebidas,136
3999,72,1,2024-01-06,159,Utensilios,159
3009,98,1,2024-01-06,61,Utensilios,61
3009,94,1,2024-01-06,242,Utensilios,242
284,54,1,2024-01-06,211,Limpeza,211
284,27,1,2024-01-06,249,Utensilios,249
1119,90,1,2024-01-06,284,Carnes,284
1119,17,1,2024-01-06,199,Bebidas,199
5722,90,1,2024-01-07,284,Carnes,284
1882,78,1,2024-01-07,203,Limpeza,203
1882,9,1,2024-01-07,250,Bebidas,250
6882,44,1,2024-01-07,203,Carnes,203
9341,19,1,2024-01-07,59,Bebidas,59
3882,33,1,2024-01-07,166,Bebidas,166
9824,25,1,2024-01-07,160,Limpeza,160
3885,88,1,2024-01-07,198,Bebidas,198
4238,40,1,2024-01-07,130,Utensilios,130
3108,57,1,2024-01-07,169,Utensilios,169
3108,76,1,2024-01-07,228,Utensilios,228
3682,68,1,2024-01-07,152,Limpeza,152
6489,83,1,2024-01-07,217,Limpeza,217
5842,17,1,2024-01-07,199,Bebidas,199
5842,10,1,2024-01-07,286,Carnes,286
5842,69,1,2024-01-07,194,Carnes,194
7141,93,1,2024-01-07,276,Bebidas,276
6098,21,1,2024-01-07,267,Carnes,267
5749,66,1,2024-01-07,75,Utensilios,75
1102,50,1,2024-01-07,163,Carnes,163
9542,50,1,2024-01-07,163,Carnes,163
8760,87,1,2024-01-07,236,Utensilios,236
3243,8,1,2024-01-07,184,Carnes,184
3243,2,1,2024-01-07,207,Carnes,207
3243,41,1,2024-01-07,164,Carnes,164
5895,20,1,2024-01-07,286,Limpeza,286
7710,94,1,2024-01-07,242,Utensilios,242
7710,54,1,2024-01-07,211,Limpeza,211
7389,85,1,2024-01-07,156,Bebidas,156
7921,54,1,2024-01-07,211,Limpeza,211
7921,33,1,2024-01-07,166,Bebidas,166
7140,31,1,2024-01-07,150,Limpeza,150
5509,29,1,2024-01-07,111,Bebidas,111
5509,72,1,2024-01-07,159,Utensilios,159
114,21,1,2024-01-07,267,Carnes,267
6725,38,1,2024-01-07,246,Bebidas,246
5329,88,1,2024-01-07,198,Bebidas,198
7327,80,1,2024-01-07,188,Limpeza,188
3859,17,1,2024-01-07,199,Bebidas,199
9853,81,1,2024-01-07,63,Bebidas,63
8531,68,1,2024-01-07,152,Limpeza,152
1116,33,1,2024-01-07,166,Bebidas,166
5766,76,1,2024-01-08,228,Utensilios,228
7690,8,1,2024-01-08,184,Carnes,184
3462,50,1,2024-01-08,163,Carnes,163
7454,91,1,2024-01-08,69,Bebidas,69
4425,44,1,2024-01-08,203,Carnes,203
4425,80,1,2024-01-08,188,Limpeza,188
2748,44,1,2024-01-08,203,Carnes,203
213,4,1,2024-01-08,175,Carnes,175
213,44,1,2024-01-08,203,Carnes,203
7506,6,1,2024-01-08,273,Carnes,273
6828,4,1,2024-01-08,175,Carnes,175
8134,23,1,2024-01-08,135,Bebidas,135
3321,24,1,2024-01-08,150,Bebidas,150
7587,39,1,2024-01-08,217,Bebidas,217
46,93,1,2024-01-08,276,Bebidas,276
6753,13,1,2024-01-08,91,Bebidas,91
5181,0,1,2024-01-08,263,Carnes,263
4325,62,1,2024-01-08,246,Bebidas,246
9281,56,1,2024-01-08,173,Utensilios,173
9281,81,1,2024-01-08,63,Bebidas,63
5110,60,1,2024-01-08,98,Limpeza,98
4334,11,1,2024-01-08,256,Carnes,256
4334,68,1,2024-01-08,152,Limpeza,152
4899,86,1,2024-01-08,298,Bebidas,298
9655,52,1,2024-01-08,69,Utensilios,69
9655,63,1,2024-01-08,80,Carnes,80
2545,21,1,2024-01-08,267,Carnes,267
9835,8,1,2024-01-08,184,Carnes,184
4998,99,1,2024-01-08,134,Limpeza,134
3996,61,1,2024-01-08,204,Bebidas,204
9301,54,1,2024-01-08,211,Limpeza,211
9154,33,1,2024-01-08,166,Bebidas,166
1887,67,1,2024-01-08,275,Limpeza,275
2598,86,1,2024-01-08,298,Bebidas,298
2598,64,1,2024-01-08,213,Utensilios,213
2598,43,1,2024-01-08,284,Bebidas,284
2598,66,1,2024-01-08,75,Utensilios,75
2290,26,1,2024-01-08,279,Carnes,279
5032,43,1,2024-01-08,284,Bebidas,284
8324,51,1,2024-01-08,233,Bebidas,233
6957,2,1,2024-01-08,207,Carnes,207
2709,86,1,2024-01-08,298,Bebidas,298
8349,64,1,2024-01-08,213,Utensilios,213
6530,64,1,2024-01-08,213,Utensilios,213
2850,14,1,2024-01-09,84,Limpeza,84
2850,46,1,2024-01-09,74,Carnes,74
6465,57,1,2024-01-09,169,Utensilios,169
6465,97,1,2024-01-09,69,Bebidas,69
6465,63,1,2024-01-09,80,Carnes,80
1193,28,1,2024-01-09,99,Carnes,99
1168,30,1,2024-01-09,293,Bebidas,293
8440,30,1,2024-01-09,293,Bebidas,293
8440,72,1,2024-01-09,159,Utensilios,159
6672,28,1,2024-01-09,99,Carnes,99
3090,95,1,2024-01-09,156,Limpeza,156
6136,52,1,2024-01-09,69,Utensilios,69
6136,87,1,2024-01-09,236,Utensilios,236
2182,16,1,2024-01-09,150,Utensilios,150
7911,70,1,2024-01-09,187,Utensilios,187
7911,78,1,2024-01-09,203,Limpeza,203
1934,70,1,2024-01-09,187,Utensilios,187
1368,52,1,2024-01-09,69,Utensilios,69
8959,20,1,2024-01-09,286,Limpeza,286
724,51,1,2024-01-09,233,Bebidas,233
724,79,1,2024-01-09,163,Limpeza,163
8114,44,1,2024-01-09,203,Carnes,203
3547,64,1,2024-01-09,213,Utensilios,213
8146,11,1,2024-01-09,256,Carnes,256
6756,93,1,2024-01-09,276,Bebidas,276
4899,30,1,2024-01-09,293,Bebidas,293
1968,77,1,2024-01-09,132,Carnes,132
9645,19,1,2024-01-09,59,Bebidas,59
206,12,1,2024-01-09,199,Limpeza,199
206,13,1,2024-01-09,91,Bebidas,91
275,19,1,2024-01-09,59,Bebidas,59
6617,91,1,2024-01-09,69,Bebidas,69
1662,45,1,2024-01-09,151,Carnes,151
9709,31,1,2024-01-09,150,Limpeza,150
360,40,1,2024-01-09,130,Utensilios,130
3458,91,1,2024-01-09,69,Bebidas,69
1181,49,1,2024-01-09,266,Utensilios,266
1110,28,1,2024-01-09,99,Carnes,99
1432,69,1,2024-01-09,194,Carnes,194
2282,1,1,2024-01-09,272,Limpeza,272
1686,46,1,2024-01-09,74,Carnes,74
7964,62,1,2024-01-09,246,Bebidas,246
2764,40,1,2024-01-09,130,Utensilios,130
8935,15,1,2024-01-10,297,Bebidas,297
8935,74,1,2024-01-10,256,Utensilios,256
6345,11,1,2024-01-10,256,Carnes,256
6345,55,1,2024-01-10,58,Bebidas,58
1978,97,1,2024-01-10,69,Bebidas,69
9123,24,1,2024-01-10,150,Bebidas,150
9123,21,1,2024-01-10,267,Carnes,267
4162,37,1,2024-01-10,66,Utensilios,66
4162,38,1,2024-01-10,246,Bebidas,246
432,71,1,2024-01-10,245,Carnes,245
590,41,1,2024-01-10,164,Carnes,164
4259,81,1,2024-01-10,63,Bebidas,63
6352,85,1,2024-01-10,156,Bebidas,156
3277,10,1,2024-01-10,286,Carnes,286
9374,66,1,2024-01-10,75,Utensilios,75
3720,7,1,2024-01-10,288,Carnes,288
5761,5,1,2024-01-10,76,Utensilios,76
4006,22,1,2024-01-10,147,Bebidas,147
4354,6,1,2024-01-10,273,Carnes,273
5890,83,1,2024-01-10,217,Limpeza,217
9420,16,1,2024-01-10,150,Utensilios,150
9420,10,1,2024-01-10,286,Carnes,286
4044,33,1,2024-01-10,166,Bebidas,166
1706,9,1,2024-01-10,250,Bebidas,250
1706,51,1,2024-01-10,233,Bebidas,233
8422,53,1,2024-01-10,187,Bebidas,187
95,45,1,2024-01-10,151,Carnes,151
95,36,1,2024-01-10,167,Bebidas,167
2220,67,1,2024-01-10,275,Limpeza,275
5780,33,1,2024-01-10,166,Bebidas,166
5224,94,1,2024-01-10,242,Utensilios,242
5224,46,1,2024-01-10,74,Carnes,74
2082,69,1,2024-01-10,194,Carnes,194
6289,61,1,2024-01-10,204,Bebidas,204
4414,66,1,2024-01-10,75,Utensilios,75
1999,99,1,2024-01-10,134,Limpeza,134
4458,2,1,2024-01-10,207,Carnes,207
9840,49,1,2024-01-10,266,Utensilios,266
2406,71,1,2024-01-10,245,Carnes,245
3505,47,1,2024-01-10,163,Limpeza,163
3505,17,1,2024-01-10,199,Bebidas,199
87,94,1,2024-01-10,242,Utensilios,242
4568,17,1,2024-01-10,199,Bebidas,199
4568,59,1,2024-01-10,274,Carnes,274
4614,65,1,2024-01-10,198,Carnes,198
4720,41,1,2024-01-10,164,Carnes,164
201,6,1,2024-01-10,273,Carnes,273
992,49,1,2024-01-11,266,Utensilios,266
9720,86,1,2024-01-11,298,Bebidas,298
9720,73,1,2024-01-11,246,Utensilios,246
4390,58,1,2024-01-11,45,Limpeza,45
4409,30,1,2024-01-11,293,Bebidas,293
2845,87,1,2024-01-11,236,Utensilios,236
4561,63,1,2024-01-11,80,Carnes,80
4561,24,1,2024-01-11,150,Bebidas,150
1265,83,1,2024-01-11,217,Limpeza,217
3136,36,1,2024-01-11,167,Bebidas,167
3136,47,1,2024-01-11,163,Limpeza,163
795,29,1,2024-01-11,111,Bebidas,111
7586,98,1,2024-01-11,61,Utensilios,61
1008,85,1,2024-01-11,156,Bebidas,156
5457,92,1,2024-01-11,175,Bebidas,175
7583,45,1,2024-01-11,151,Carnes,151
4173,46,1,2024-01-11,74,Carnes,74
4173,53,1,2024-01-11,187,Bebidas,187
7479,67,1,2024-01-11,275,Limpeza,275
970,16,1,2024-01-11,150,Utensilios,150
7015,16,1,2024-01-11,150,Utensilios,150
2353,14,1,2024-01-11,84,Limpeza,84
9876,68,1,2024-01-11,152,Limpeza,152
8994,91,1,2024-01-11,69,Bebidas,69
508,54,1,2024-01-11,211,Limpeza,211
8445,79,1,2024-01-11,163,Limpeza,163
849,45,1,2024-01-11,151,Carnes,151
9490,68,1,2024-01-11,152,Limpeza,152
8539,6,1,2024-01-11,273,Carnes,273
5623,98,1,2024-01-11,61,Utensilios,61
98,12,1,2024-01-11,199,Limpeza,199
2879,85,1,2024-01-11,156,Bebidas,156
3975,72,1,2024-01-11,159,Utensilios,159
7928,31,1,2024-01-11,150,Limpeza,150
9748,61,1,2024-01-12,204,Bebidas,204
7824,1,1,2024-01-12,272,Limpeza,272
7824,35,1,2024-01-12,149,Limpeza,149
8833,31,1,2024-01-12,150,Limpeza,150
8833,16,1,2024-01-12,150,Utensilios,150
5041,46,1,2024-01-12,74,Carnes,74
3723,80,1,2024-01-12,188,Limpeza,188
3723,63,1,2024-01-12,80,Carnes,80
3956,11,1,2024-01-12,256,Carnes,256
941,77,1,2024-01-12,132,Carnes,132
670,73,1,2024-01-12,246,Utensilios,246
9324,48,1,2024-01-12,287,Carnes,287
535,45,1,2024-01-12,151,Carnes,151
4534,70,1,2024-01-12,187,Utensilios,187
4648,54,1,2024-01-12,211,Limpeza,211
6009,26,1,2024-01-12,279,Carnes,279
6009,15,1,2024-01-12,297,Bebidas,297
5539,80,1,2024-01-12,188,Limpeza,188
6459,43,1,2024-01-12,284,Bebidas,284
932,8,1,2024-01-12,184,Carnes,184
3,41,1,2024-01-12,164,Carnes,164
772,16,1,2024-01-12,150,Utensilios,150
772,39,1,2024-01-12,217,Bebidas,217
5643,62,1,2024-01-12,246,Bebidas,246
5643,71,1,2024-01-12,245,Carnes,245
5643,26,1,2024-01-12,279,Carnes,279
3969,88,1,2024-01-12,198,Bebidas,198
2157,75,1,2024-01-12,247,Bebidas,247
3261,44,1,2024-01-12,203,Carnes,203
1864,26,1,2024-01-12,279,Carnes,279
1864,32,1,2024-01-12,299,Limpeza,299
3394,79,1,2024-01-12,163,Limpeza,163
9175,23,1,2024-01-12,135,Bebidas,135
827,27,1,2024-01-12,249,Utensilios,249
9885,32,1,2024-01-12,299,Limpeza,299
4143,43,1,2024-01-12,284,Bebidas,284
3425,37,1,2024-01-12,66,Utensilios,66
1260,95,1,2024-01-12,156,Limpeza,156
4034,84,1,2024-01-12,93,Utensilios,93
3522,36,1,2024-01-12,167,Bebidas,167
2417,3,1,2024-01-13,67,Limpeza,67
3765,89,1,2024-01-13,271,Carnes,271
1351,88,1,2024-01-13,198,Bebidas,198
8908,7,1,2024-01-13,288,Carnes,288
7011,82,1,2024-01-13,91,Utensilios,91
7011,47,1,2024-01-13,163,Limpeza,163
9541,7,1,2024-01-13,288,Carnes,288
578,17,1,2024-01-13,199,Bebidas,199
1697,83,1,2024-01-13,217,Limpeza,217
2281,5,1,2024-01-13,76,Utensilios,76
759,19,1,2024-01-13,59,Bebidas,59
8862,76,1,2024-01-13,228,Utensilios,228
6870,91,1,2024-01-13,69,Bebidas,69
2752,51,1,2024-01-13,233,Bebidas,233
4497,25,1,2024-01-13,160,Limpeza,160
9379,67,1,2024-01-13,275,Limpeza,275
1720,98,1,2024-01-13,61,Utensilios,61
7699,93,1,2024-01-13,276,Bebidas,276
7474,95,1,2024-01-13,156,Limpeza,156
1709,41,1,2024-01-13,164,Carnes,164
8963,44,1,2024-01-13,203,Carnes,203
8963,46,1,2024-01-13,74,Carnes,74
8963,41,1,2024-01-13,164,Carnes,164
7980,8,1,2024-01-13,184,Carnes,184
9947,82,1,2024-01-13,91,Utensilios,91
6176,69,1,2024-01-13,194,Carnes,194
6791,33,1,2024-01-13,166,Bebidas,166
9265,74,1,2024-01-13,256,Utensilios,256
2660,60,1,2024-01-13,98,Limpeza,98
3616,98,1,2024-01-13,61,Utensilios,61
5847,90,1,2024-01-13,284,Carnes,284
5216,71,1,2024-01-13,245,Carnes,245
5216,41,1,2024-01-13,164,Carnes,164
4688,3,1,2024-01-13,67,Limpeza,67
6951,69,1,2024-01-13,194,Carnes,194
9787,81,1,2024-01-13,63,Bebidas,63
9787,33,1,2024-01-13,166,Bebidas,166
6805,5,1,2024-01-13,76,Utensilios,76
6805,61,1,2024-01-13,204,Bebidas,204
2630,8,1,2024-01-13,184,Carnes,184
4106,34,1,2024-01-13,132,Limpeza,132
6169,74,1,2024-01-13,256,Utensilios,256
2835,75,1,2024-01-14,247,Bebidas,247
7684,34,1,2024-01-14,132,Limpeza,132
9741,19,1,2024-01-14,59,Bebidas,59
8144,2,1,2024-01-14,207,Carnes,207
8116,50,1,2024-01-14,163,Carnes,163
3729,28,1,2024-01-14,99,Carnes,99
8246,92,1,2024-01-14,175,Bebidas,175
8700,32,1,2024-01-14,299,Limpeza,299
6111,21,1,2024-01-14,267,Carnes,267
927,15,1,2024-01-14,297,Bebidas,297
1726,10,1,2024-01-14,286,Carnes,286
4687,63,1,2024-01-14,80,Carnes,80
3382,35,1,2024-01-14,149,Limpeza,149
8904,69,1,2024-01-14,194,Carnes,194
6391,9,1,2024-01-14,250,Bebidas,250
6529,15,1,2024-01-14,297,Bebidas,297
5394,71,1,2024-01-14,245,Carnes,245
1583,45,1,2024-01-14,151,Carnes,151
4756,26,1,2024-01-14,279,Carnes,279
2965,27,1,2024-01-14,249,Utensilios,249
7417,54,1,2024-01-14,211,Limpeza,211
3225,15,1,2024-01-14,297,Bebidas,297
3225,54,1,2024-01-14,211,Limpeza,211
9554,75,1,2024-01-14,247,Bebidas,247
9554,25,1,2024-01-14,160,Limpeza,160
1466,99,1,2024-01-14,134,Limpeza,134
7379,54,1,2024-01-14,211,Limpeza,211
804,93,1,2024-01-14,276,Bebidas,276
2183,93,1,2024-01-14,276,Bebidas,276
1698,30,1,2024-01-14,293,Bebidas,293
414,44,1,2024-01-14,203,Carnes,203
734,15,1,2024-01-14,297,Bebidas,297
43,35,1,2024-01-14,149,Limpeza,149
715,11,1,2024-01-15,256,Carnes,256
4854,5,1,2024-01-15,76,Utensilios,76
4854,56,1,2024-01-15,173,Utensilios,173
6794,37,1,2024-01-15,66,Utensilios,66
4859,68,1,2024-01-15,152,Limpeza,152
4859,57,1,2024-01-15,169,Utensilios,169
7985,56,1,2024-01-15,173,Utensilios,173
